game 584 : Score 0 : 31470, score 1 : 30020
game 585 : Score 0 : 31470, score 1 : 30100
game 586 : Score 0 : 31470, score 1 : 30260
game 587 : Score 0 : 31560, score 1 : 30260
game 588 : Score 0 : 31560, score 1 : 30340
game 589 : Score 0 : 31650, score 1 : 30340
game 590 : Score 0 : 31650, score 1 : 30430
game 591 : Score 0 : 31730, score 1 : 30430
game 592 : Score 0 : 31730, score 1 : 30510
game 593 : Score 0 : 31830, score 1 : 30510
game 594 : Score 0 : 31910, score 1 : 30510
game 595 : Score 0 : 31910, score 1 : 30590
game 596 : Score 0 : 31910, score 1 : 30680
game 597 : Score 0 : 31910, score 1 : 30840
game 598 : Score 0 : 31990, score 1 : 30840
game 599 : Score 0 : 31990, score 1 : 31000
game 600 : Score 0 : 32080, score 1 : 31000
game 601 : Score 0 : 32080, score 1 : 31160
game 602 : Score 0 : 32170, score 1 : 31160
game 603 : Score 0 : 32170, score 1 : 31240
game 604 : Score 0 : 32170, score 1 : 31330
game 605 : Score 0 : 32260, score 1 : 31330
game 606 : Score 0 : 32350, score 1 : 31330
game 607 : Score 0 : 32350, score 1 : 31410
game 608 : Score 0 : 32350, score 1 : 31500
game 609 : Score 0 : 32350, score 1 : 31590
game 610 : Score 0 : 32350, score 1 : 31670
game 611 : Score 0 : 32350, score 1 : 31830
game 612 : Score 0 : 32350, score 1 : 31920
game 613 : Score 0 : 32350, score 1 : 32080
game 614 : Score 0 : 32430, score 1 : 32080
game 615 : Score 0 : 32530, score 1 : 32080
game 616 : Score 0 : 32530, score 1 : 32170
game 617 : Score 0 : 32690, score 1 : 32170
game 618 : Score 0 : 32690, score 1 : 32270
game 619 : Score 0 : 32850, score 1 : 32270
game 620 : Score 0 : 32940, score 1 : 32270
game 621 : Score 0 : 32940, score 1 : 32360
game 622 : Score 0 : 33100, score 1 : 32360
game 623 : Score 0 : 33100, score 1 : 32520
game 624 : Score 0 : 33260, score 1 : 32520
game 625 : Score 0 : 33260, score 1 : 32600
game 626 : Score 0 : 33260, score 1 : 32760
game 627 : Score 0 : 33420, score 1 : 32760
game 628 : Score 0 : 33510, score 1 : 32760
game 629 : Score 0 : 33510, score 1 : 32850
game 630 : Score 0 : 33670, score 1 : 32850
game 631 : Score 0 : 33760, score 1 : 32850
game 632 : Score 0 : 33920, score 1 : 32850
game 633 : Score 0 : 34080, score 1 : 32850
game 634 : Score 0 : 34170, score 1 : 32850
game 635 : Score 0 : 34330, score 1 : 32850
game 636 : Score 0 : 34330, score 1 : 32940
game 637 : Score 0 : 34490, score 1 : 32940
game 638 : Score 0 : 34490, score 1 : 33030
game 639 : Score 0 : 34590, score 1 : 33030
game 640 : Score 0 : 34680, score 1 : 33030
game 641 : Score 0 : 34680, score 1 : 33120
game 642 : Score 0 : 34770, score 1 : 33120
game 643 : Score 0 : 34770, score 1 : 33280
game 644 : Score 0 : 34930, score 1 : 33280
game 645 : Score 0 : 34930, score 1 : 33370
game 646 : Score 0 : 35030, score 1 : 33370
game 647 : Score 0 : 35190, score 1 : 33370
game 648 : Score 0 : 35190, score 1 : 33460
game 649 : Score 0 : 35190, score 1 : 33550
game 650 : Score 0 : 35280, score 1 : 33550
game 651 : Score 0 : 35280, score 1 : 33630
game 652 : Score 0 : 35380, score 1 : 33630
game 653 : Score 0 : 35470, score 1 : 33630
game 654 : Score 0 : 35560, score 1 : 33630
game 655 : Score 0 : 35650, score 1 : 33630
game 656 : Score 0 : 35730, score 1 : 33630
game 657 : Score 0 : 35810, score 1 : 33630
game 658 : Score 0 : 35810, score 1 : 33730
game 659 : Score 0 : 35810, score 1 : 33820
game 660 : Score 0 : 35900, score 1 : 33820
game 661 : Score 0 : 35990, score 1 : 33820
game 662 : Score 0 : 36150, score 1 : 33820
game 663 : Score 0 : 36310, score 1 : 33820
game 664 : Score 0 : 36400, score 1 : 33820
game 665 : Score 0 : 36400, score 1 : 33980
game 666 : Score 0 : 36400, score 1 : 34070
game 667 : Score 0 : 36400, score 1 : 34150
game 668 : Score 0 : 36560, score 1 : 34150
game 669 : Score 0 : 36720, score 1 : 34150
game 670 : Score 0 : 36720, score 1 : 34240
game 671 : Score 0 : 36810, score 1 : 34240
game 672 : Score 0 : 36900, score 1 : 34240
game 673 : Score 0 : 36900, score 1 : 34400
game 674 : Score 0 : 36900, score 1 : 34500
game 675 : Score 0 : 36900, score 1 : 34590
game 676 : Score 0 : 36900, score 1 : 34690
game 677 : Score 0 : 36900, score 1 : 34780
game 678 : Score 0 : 37000, score 1 : 34780
game 679 : Score 0 : 37080, score 1 : 34780
game 680 : Score 0 : 37080, score 1 : 34870
game 681 : Score 0 : 37170, score 1 : 34870
game 682 : Score 0 : 37280, score 1 : 34870
game 683 : Score 0 : 37370, score 1 : 34870
game 684 : Score 0 : 37530, score 1 : 34870
game 685 : Score 0 : 37690, score 1 : 34870
game 686 : Score 0 : 37690, score 1 : 34950
game 687 : Score 0 : 37780, score 1 : 34950
game 688 : Score 0 : 37860, score 1 : 34950
game 689 : Score 0 : 37950, score 1 : 34950
game 690 : Score 0 : 37950, score 1 : 35030
game 691 : Score 0 : 37950, score 1 : 35190
game 692 : Score 0 : 38110, score 1 : 35190
game 693 : Score 0 : 38200, score 1 : 35190
game 694 : Score 0 : 38200, score 1 : 35280
game 695 : Score 0 : 38290, score 1 : 35280
game 696 : Score 0 : 38380, score 1 : 35280
game 697 : Score 0 : 38380, score 1 : 35440
game 698 : Score 0 : 38540, score 1 : 35440
game 699 : Score 0 : 38540, score 1 : 35600
game 700 : Score 0 : 38540, score 1 : 35690
game 701 : Score 0 : 38630, score 1 : 35690
game 702 : Score 0 : 38720, score 1 : 35690
game 703 : Score 0 : 38800, score 1 : 35690
game 704 : Score 0 : 38890, score 1 : 35690
game 705 : Score 0 : 38980, score 1 : 35690
game 706 : Score 0 : 39140, score 1 : 35690
game 707 : Score 0 : 39230, score 1 : 35690
game 708 : Score 0 : 39230, score 1 : 35790
game 709 : Score 0 : 39310, score 1 : 35790
game 710 : Score 0 : 39410, score 1 : 35790
game 711 : Score 0 : 39500, score 1 : 35790
game 712 : Score 0 : 39500, score 1 : 35880
game 713 : Score 0 : 39500, score 1 : 36040
game 714 : Score 0 : 39500, score 1 : 36130
game 715 : Score 0 : 39590, score 1 : 36130
game 716 : Score 0 : 39670, score 1 : 36130
game 717 : Score 0 : 39760, score 1 : 36130
game 718 : Score 0 : 39920, score 1 : 36130
game 719 : Score 0 : 39920, score 1 : 36290
game 720 : Score 0 : 39920, score 1 : 36380
game 721 : Score 0 : 40010, score 1 : 36380
game 722 : Score 0 : 40100, score 1 : 36380
game 723 : Score 0 : 40100, score 1 : 36460
game 724 : Score 0 : 40200, score 1 : 36460
game 725 : Score 0 : 40290, score 1 : 36460
game 726 : Score 0 : 40390, score 1 : 36460
game 727 : Score 0 : 40470, score 1 : 36460
game 728 : Score 0 : 40470, score 1 : 36620
game 729 : Score 0 : 40560, score 1 : 36620
game 730 : Score 0 : 40560, score 1 : 36710
game 731 : Score 0 : 40640, score 1 : 36710
game 732 : Score 0 : 40640, score 1 : 36800
game 733 : Score 0 : 40640, score 1 : 36890
game 734 : Score 0 : 40740, score 1 : 36890
game 735 : Score 0 : 40900, score 1 : 36890
game 736 : Score 0 : 40900, score 1 : 36990
game 737 : Score 0 : 40990, score 1 : 36990
game 738 : Score 0 : 40990, score 1 : 37080
game 739 : Score 0 : 41150, score 1 : 37080
game 740 : Score 0 : 41150, score 1 : 37240
game 741 : Score 0 : 41240, score 1 : 37240
game 742 : Score 0 : 41240, score 1 : 37320
game 743 : Score 0 : 41240, score 1 : 37410
game 744 : Score 0 : 41330, score 1 : 37410
game 745 : Score 0 : 41420, score 1 : 37410
game 746 : Score 0 : 41420, score 1 : 37500
game 747 : Score 0 : 41420, score 1 : 37590
game 748 : Score 0 : 41420, score 1 : 37680
game 749 : Score 0 : 41500, score 1 : 37680
game 750 : Score 0 : 41580, score 1 : 37680
game 751 : Score 0 : 41740, score 1 : 37680
game 752 : Score 0 : 41740, score 1 : 37760
game 753 : Score 0 : 41830, score 1 : 37760
game 754 : Score 0 : 41830, score 1 : 37850
game 755 : Score 0 : 41830, score 1 : 37950
game 756 : Score 0 : 41910, score 1 : 37950
game 757 : Score 0 : 42000, score 1 : 37950
game 758 : Score 0 : 42090, score 1 : 37950
game 759 : Score 0 : 42180, score 1 : 37950
game 760 : Score 0 : 42270, score 1 : 37950
game 761 : Score 0 : 42270, score 1 : 38040
game 762 : Score 0 : 42270, score 1 : 38140
game 763 : Score 0 : 42270, score 1 : 38220
game 764 : Score 0 : 42430, score 1 : 38220
game 765 : Score 0 : 42430, score 1 : 38380
game 766 : Score 0 : 42430, score 1 : 38540
game 767 : Score 0 : 42510, score 1 : 38540
game 768 : Score 0 : 42510, score 1 : 38700
game 769 : Score 0 : 42600, score 1 : 38700
game 770 : Score 0 : 42690, score 1 : 38700
game 771 : Score 0 : 42850, score 1 : 38700
game 772 : Score 0 : 42850, score 1 : 38780
game 773 : Score 0 : 42850, score 1 : 38860
game 774 : Score 0 : 42940, score 1 : 38860
game 775 : Score 0 : 43030, score 1 : 38860
game 776 : Score 0 : 43190, score 1 : 38860
game 777 : Score 0 : 43190, score 1 : 39020
game 778 : Score 0 : 43190, score 1 : 39100
game 779 : Score 0 : 43270, score 1 : 39100
game 780 : Score 0 : 43430, score 1 : 39100
game 781 : Score 0 : 43590, score 1 : 39100
game 782 : Score 0 : 43590, score 1 : 39190
game 783 : Score 0 : 43690, score 1 : 39190
game 784 : Score 0 : 43780, score 1 : 39190
game 785 : Score 0 : 43870, score 1 : 39190
game 786 : Score 0 : 43960, score 1 : 39190
game 787 : Score 0 : 43960, score 1 : 39290
game 788 : Score 0 : 44040, score 1 : 39290
game 789 : Score 0 : 44040, score 1 : 39450
game 790 : Score 0 : 44130, score 1 : 39450
game 791 : Score 0 : 44220, score 1 : 39450
game 792 : Score 0 : 44310, score 1 : 39450
game 793 : Score 0 : 44310, score 1 : 39540
game 794 : Score 0 : 44400, score 1 : 39540
game 795 : Score 0 : 44560, score 1 : 39540
game 796 : Score 0 : 44650, score 1 : 39540
game 797 : Score 0 : 44650, score 1 : 39700
game 798 : Score 0 : 44650, score 1 : 39790
game 799 : Score 0 : 44740, score 1 : 39790
game 800 : Score 0 : 44900, score 1 : 39790
game 801 : Score 0 : 44990, score 1 : 39790
game 802 : Score 0 : 45150, score 1 : 39790
game 803 : Score 0 : 45150, score 1 : 39890
game 804 : Score 0 : 45150, score 1 : 39980
game 805 : Score 0 : 45240, score 1 : 39980
game 806 : Score 0 : 45240, score 1 : 40070
game 807 : Score 0 : 45320, score 1 : 40070
game 808 : Score 0 : 45320, score 1 : 40230
game 809 : Score 0 : 45320, score 1 : 40390
game 810 : Score 0 : 45320, score 1 : 40480
game 811 : Score 0 : 45320, score 1 : 40570
game 812 : Score 0 : 45320, score 1 : 40660
game 813 : Score 0 : 45320, score 1 : 40740
game 814 : Score 0 : 45320, score 1 : 40830
game 815 : Score 0 : 45320, score 1 : 40920
game 816 : Score 0 : 45320, score 1 : 41010
game 817 : Score 0 : 45320, score 1 : 41090
game 818 : Score 0 : 45400, score 1 : 41090
game 819 : Score 0 : 45400, score 1 : 41180
game 820 : Score 0 : 45560, score 1 : 41180
game 821 : Score 0 : 45560, score 1 : 41260
game 822 : Score 0 : 45650, score 1 : 41260
game 823 : Score 0 : 45730, score 1 : 41260
game 824 : Score 0 : 45730, score 1 : 41340
game 825 : Score 0 : 45820, score 1 : 41340
game 826 : Score 0 : 45910, score 1 : 41340
game 827 : Score 0 : 46070, score 1 : 41340
game 828 : Score 0 : 46160, score 1 : 41340
game 829 : Score 0 : 46250, score 1 : 41340
game 830 : Score 0 : 46410, score 1 : 41340
game 831 : Score 0 : 46410, score 1 : 41430
game 832 : Score 0 : 46410, score 1 : 41590
game 833 : Score 0 : 46410, score 1 : 41680
game 834 : Score 0 : 46500, score 1 : 41680
game 835 : Score 0 : 46590, score 1 : 41680
game 836 : Score 0 : 46590, score 1 : 41770
game 837 : Score 0 : 46590, score 1 : 41930
game 838 : Score 0 : 46590, score 1 : 42010
game 839 : Score 0 : 46750, score 1 : 42010
game 840 : Score 0 : 46750, score 1 : 42090
game 841 : Score 0 : 46840, score 1 : 42090
game 842 : Score 0 : 46930, score 1 : 42090
game 843 : Score 0 : 46930, score 1 : 42170
game 844 : Score 0 : 46930, score 1 : 42260
game 845 : Score 0 : 47020, score 1 : 42260
game 846 : Score 0 : 47020, score 1 : 42340
game 847 : Score 0 : 47020, score 1 : 42420
game 848 : Score 0 : 47110, score 1 : 42420
game 849 : Score 0 : 47200, score 1 : 42420
game 850 : Score 0 : 47200, score 1 : 42510
game 851 : Score 0 : 47290, score 1 : 42510
game 852 : Score 0 : 47290, score 1 : 42670
game 853 : Score 0 : 47290, score 1 : 42770
game 854 : Score 0 : 47380, score 1 : 42770
game 855 : Score 0 : 47380, score 1 : 42850
game 856 : Score 0 : 47480, score 1 : 42850
game 857 : Score 0 : 47480, score 1 : 42930
game 858 : Score 0 : 47570, score 1 : 42930
game 859 : Score 0 : 47660, score 1 : 42930
game 860 : Score 0 : 47750, score 1 : 42930
game 861 : Score 0 : 47840, score 1 : 42930
game 862 : Score 0 : 47840, score 1 : 43020
game 863 : Score 0 : 47930, score 1 : 43020
game 864 : Score 0 : 47930, score 1 : 43120
game 865 : Score 0 : 47930, score 1 : 43200
game 866 : Score 0 : 47930, score 1 : 43280
game 867 : Score 0 : 47930, score 1 : 43370
game 868 : Score 0 : 48090, score 1 : 43370
game 869 : Score 0 : 48180, score 1 : 43370
game 870 : Score 0 : 48340, score 1 : 43370
game 871 : Score 0 : 48500, score 1 : 43370
game 872 : Score 0 : 48590, score 1 : 43370
game 873 : Score 0 : 48590, score 1 : 43460
game 874 : Score 0 : 48590, score 1 : 43620
game 875 : Score 0 : 48670, score 1 : 43620
game 876 : Score 0 : 48750, score 1 : 43620
game 877 : Score 0 : 48840, score 1 : 43620
game 878 : Score 0 : 48920, score 1 : 43620
game 879 : Score 0 : 49000, score 1 : 43620
game 880 : Score 0 : 49000, score 1 : 43710
game 881 : Score 0 : 49000, score 1 : 43800
game 882 : Score 0 : 49000, score 1 : 43890
game 883 : Score 0 : 49090, score 1 : 43890
game 884 : Score 0 : 49090, score 1 : 44050
game 885 : Score 0 : 49180, score 1 : 44050
game 886 : Score 0 : 49340, score 1 : 44050
game 887 : Score 0 : 49420, score 1 : 44050
game 888 : Score 0 : 49420, score 1 : 44140
game 889 : Score 0 : 49580, score 1 : 44140
game 890 : Score 0 : 49580, score 1 : 44240
game 891 : Score 0 : 49670, score 1 : 44240
game 892 : Score 0 : 49830, score 1 : 44240
game 893 : Score 0 : 49910, score 1 : 44240
game 894 : Score 0 : 50070, score 1 : 44240
game 895 : Score 0 : 50070, score 1 : 44400
game 896 : Score 0 : 50160, score 1 : 44400
game 897 : Score 0 : 50160, score 1 : 44490
game 898 : Score 0 : 50160, score 1 : 44580
game 899 : Score 0 : 50250, score 1 : 44580
game 900 : Score 0 : 50410, score 1 : 44580
game 901 : Score 0 : 50410, score 1 : 44660
game 902 : Score 0 : 50500, score 1 : 44660
game 903 : Score 0 : 50500, score 1 : 44820
game 904 : Score 0 : 50590, score 1 : 44820
game 905 : Score 0 : 50680, score 1 : 44820
game 906 : Score 0 : 50680, score 1 : 44910
game 907 : Score 0 : 50680, score 1 : 45000
game 908 : Score 0 : 50780, score 1 : 45000
game 909 : Score 0 : 50870, score 1 : 45000
game 910 : Score 0 : 50960, score 1 : 45000
game 911 : Score 0 : 51040, score 1 : 45000
game 912 : Score 0 : 51040, score 1 : 45090
game 913 : Score 0 : 51040, score 1 : 45180
game 914 : Score 0 : 51130, score 1 : 45180
game 915 : Score 0 : 51130, score 1 : 45270
game 916 : Score 0 : 51130, score 1 : 45430
game 917 : Score 0 : 51130, score 1 : 45590
game 918 : Score 0 : 51240, score 1 : 45590
game 919 : Score 0 : 51340, score 1 : 45590
game 920 : Score 0 : 51420, score 1 : 45590
game 921 : Score 0 : 51420, score 1 : 45670
game 922 : Score 0 : 51420, score 1 : 45760
game 923 : Score 0 : 51500, score 1 : 45760
game 924 : Score 0 : 51590, score 1 : 45760
game 925 : Score 0 : 51670, score 1 : 45760
game 926 : Score 0 : 51750, score 1 : 45760
game 927 : Score 0 : 51910, score 1 : 45760
game 928 : Score 0 : 51990, score 1 : 45760
game 929 : Score 0 : 51990, score 1 : 45850
game 930 : Score 0 : 51990, score 1 : 45930
game 931 : Score 0 : 52080, score 1 : 45930
game 932 : Score 0 : 52240, score 1 : 45930
game 933 : Score 0 : 52240, score 1 : 46030
game 934 : Score 0 : 52320, score 1 : 46030
game 935 : Score 0 : 52480, score 1 : 46030
game 936 : Score 0 : 52570, score 1 : 46030
game 937 : Score 0 : 52660, score 1 : 46030
game 938 : Score 0 : 52820, score 1 : 46030
game 939 : Score 0 : 52910, score 1 : 46030
game 940 : Score 0 : 53070, score 1 : 46030
game 941 : Score 0 : 53160, score 1 : 46030
game 942 : Score 0 : 53160, score 1 : 46120
game 943 : Score 0 : 53160, score 1 : 46210
game 944 : Score 0 : 53160, score 1 : 46290
game 945 : Score 0 : 53160, score 1 : 46380
game 946 : Score 0 : 53250, score 1 : 46380
game 947 : Score 0 : 53340, score 1 : 46380
game 948 : Score 0 : 53430, score 1 : 46380
game 949 : Score 0 : 53590, score 1 : 46380
game 950 : Score 0 : 53590, score 1 : 46460
game 951 : Score 0 : 53590, score 1 : 46550
game 952 : Score 0 : 53590, score 1 : 46630
game 953 : Score 0 : 53680, score 1 : 46630
game 954 : Score 0 : 53680, score 1 : 46790
game 955 : Score 0 : 53680, score 1 : 46950
game 956 : Score 0 : 53680, score 1 : 47040
game 957 : Score 0 : 53680, score 1 : 47120
game 958 : Score 0 : 53840, score 1 : 47120
game 959 : Score 0 : 53920, score 1 : 47120
game 960 : Score 0 : 54010, score 1 : 47120
game 961 : Score 0 : 54100, score 1 : 47120
game 962 : Score 0 : 54100, score 1 : 47220
game 963 : Score 0 : 54190, score 1 : 47220
game 964 : Score 0 : 54270, score 1 : 47220
game 965 : Score 0 : 54360, score 1 : 47220
game 966 : Score 0 : 54450, score 1 : 47220
game 967 : Score 0 : 54540, score 1 : 47220
game 968 : Score 0 : 54540, score 1 : 47310
game 969 : Score 0 : 54620, score 1 : 47310
game 970 : Score 0 : 54620, score 1 : 47400
game 971 : Score 0 : 54700, score 1 : 47400
game 972 : Score 0 : 54700, score 1 : 47560
game 973 : Score 0 : 54860, score 1 : 47560
game 974 : Score 0 : 55020, score 1 : 47560
game 975 : Score 0 : 55100, score 1 : 47560
game 976 : Score 0 : 55190, score 1 : 47560
game 977 : Score 0 : 55280, score 1 : 47560
game 978 : Score 0 : 55280, score 1 : 47650
game 979 : Score 0 : 55440, score 1 : 47650
game 980 : Score 0 : 55530, score 1 : 47650
game 981 : Score 0 : 55620, score 1 : 47650
game 982 : Score 0 : 55620, score 1 : 47740
game 983 : Score 0 : 55620, score 1 : 47820
game 984 : Score 0 : 55710, score 1 : 47820
game 985 : Score 0 : 55710, score 1 : 47900
game 986 : Score 0 : 55810, score 1 : 47900
game 987 : Score 0 : 55810, score 1 : 47980
game 988 : Score 0 : 55900, score 1 : 47980
game 989 : Score 0 : 55990, score 1 : 47980
game 990 : Score 0 : 55990, score 1 : 48060
game 991 : Score 0 : 55990, score 1 : 48140
game 992 : Score 0 : 55990, score 1 : 48300
game 993 : Score 0 : 56150, score 1 : 48300
game 994 : Score 0 : 56150, score 1 : 48390
game 995 : Score 0 : 56150, score 1 : 48480
game 996 : Score 0 : 56150, score 1 : 48570
game 997 : Score 0 : 56150, score 1 : 48730
game 998 : Score 0 : 56150, score 1 : 48820
game 999 : Score 0 : 56240, score 1 : 48820
game 1000 : Score 0 : 56330, score 1 : 48820
game 1001 : Score 0 : 56420, score 1 : 48820
game 1002 : Score 0 : 56420, score 1 : 48980
game 1003 : Score 0 : 56510, score 1 : 48980
game 1004 : Score 0 : 56600, score 1 : 48980
game 1005 : Score 0 : 56600, score 1 : 49080
game 1006 : Score 0 : 56600, score 1 : 49170
game 1007 : Score 0 : 56690, score 1 : 49170
game 1008 : Score 0 : 56690, score 1 : 49330
game 1009 : Score 0 : 56780, score 1 : 49330
game 1010 : Score 0 : 56780, score 1 : 49490
game 1011 : Score 0 : 56870, score 1 : 49490
game 1012 : Score 0 : 56970, score 1 : 49490
game 1013 : Score 0 : 57050, score 1 : 49490
game 1014 : Score 0 : 57140, score 1 : 49490
game 1015 : Score 0 : 57140, score 1 : 49570
game 1016 : Score 0 : 57140, score 1 : 49730
game 1017 : Score 0 : 57220, score 1 : 49730
game 1018 : Score 0 : 57220, score 1 : 49820
game 1019 : Score 0 : 57310, score 1 : 49820
game 1020 : Score 0 : 57470, score 1 : 49820
game 1021 : Score 0 : 57470, score 1 : 49910
game 1022 : Score 0 : 57470, score 1 : 49990
game 1023 : Score 0 : 57560, score 1 : 49990
game 1024 : Score 0 : 57650, score 1 : 49990
game 1025 : Score 0 : 57650, score 1 : 50150
game 1026 : Score 0 : 57740, score 1 : 50150
game 1027 : Score 0 : 57830, score 1 : 50150
game 1028 : Score 0 : 57910, score 1 : 50150
game 1029 : Score 0 : 57910, score 1 : 50250
game 1030 : Score 0 : 58070, score 1 : 50250
game 1031 : Score 0 : 58160, score 1 : 50250
game 1032 : Score 0 : 58160, score 1 : 50330
game 1033 : Score 0 : 58160, score 1 : 50490
game 1034 : Score 0 : 58250, score 1 : 50490
game 1035 : Score 0 : 58330, score 1 : 50490
game 1036 : Score 0 : 58490, score 1 : 50490
game 1037 : Score 0 : 58590, score 1 : 50490
game 1038 : Score 0 : 58590, score 1 : 50570
game 1039 : Score 0 : 58590, score 1 : 50650
game 1040 : Score 0 : 58590, score 1 : 50810
game 1041 : Score 0 : 58590, score 1 : 50900
game 1042 : Score 0 : 58750, score 1 : 50900
game 1043 : Score 0 : 58840, score 1 : 50900
game 1044 : Score 0 : 58840, score 1 : 50990
game 1045 : Score 0 : 58920, score 1 : 50990
game 1046 : Score 0 : 58920, score 1 : 51150
game 1047 : Score 0 : 58920, score 1 : 51230
game 1048 : Score 0 : 58920, score 1 : 51320
game 1049 : Score 0 : 59010, score 1 : 51320
game 1050 : Score 0 : 59100, score 1 : 51320
game 1051 : Score 0 : 59100, score 1 : 51410
game 1052 : Score 0 : 59180, score 1 : 51410
game 1053 : Score 0 : 59270, score 1 : 51410
game 1054 : Score 0 : 59370, score 1 : 51410
game 1055 : Score 0 : 59370, score 1 : 51490
game 1056 : Score 0 : 59460, score 1 : 51490
game 1057 : Score 0 : 59460, score 1 : 51570
game 1058 : Score 0 : 59550, score 1 : 51570
game 1059 : Score 0 : 59640, score 1 : 51570
game 1060 : Score 0 : 59640, score 1 : 51650
game 1061 : Score 0 : 59640, score 1 : 51810
game 1062 : Score 0 : 59640, score 1 : 51890
game 1063 : Score 0 : 59640, score 1 : 51980
game 1064 : Score 0 : 59640, score 1 : 52070
game 1065 : Score 0 : 59800, score 1 : 52070
game 1066 : Score 0 : 59800, score 1 : 52150
game 1067 : Score 0 : 59800, score 1 : 52230
game 1068 : Score 0 : 59960, score 1 : 52230
game 1069 : Score 0 : 60050, score 1 : 52230
game 1070 : Score 0 : 60160, score 1 : 52230
game 1071 : Score 0 : 60160, score 1 : 52320
game 1072 : Score 0 : 60160, score 1 : 52410
game 1073 : Score 0 : 60250, score 1 : 52410
game 1074 : Score 0 : 60340, score 1 : 52410
game 1075 : Score 0 : 60430, score 1 : 52410
game 1076 : Score 0 : 60430, score 1 : 52500
game 1077 : Score 0 : 60430, score 1 : 52590
game 1078 : Score 0 : 60430, score 1 : 52680
game 1079 : Score 0 : 60430, score 1 : 52770
game 1080 : Score 0 : 60520, score 1 : 52770
game 1081 : Score 0 : 60520, score 1 : 52850
game 1082 : Score 0 : 60600, score 1 : 52850
game 1083 : Score 0 : 60690, score 1 : 52850
game 1084 : Score 0 : 60790, score 1 : 52850
game 1085 : Score 0 : 60790, score 1 : 52940
game 1086 : Score 0 : 60880, score 1 : 52940
game 1087 : Score 0 : 60970, score 1 : 52940
game 1088 : Score 0 : 60970, score 1 : 53030
game 1089 : Score 0 : 60970, score 1 : 53120
game 1090 : Score 0 : 61050, score 1 : 53120
game 1091 : Score 0 : 61140, score 1 : 53120
game 1092 : Score 0 : 61240, score 1 : 53120
game 1093 : Score 0 : 61320, score 1 : 53120
game 1094 : Score 0 : 61420, score 1 : 53120
game 1095 : Score 0 : 61530, score 1 : 53120
game 1096 : Score 0 : 61620, score 1 : 53120
game 1097 : Score 0 : 61710, score 1 : 53120
game 1098 : Score 0 : 61710, score 1 : 53200
game 1099 : Score 0 : 61710, score 1 : 53360
game 1100 : Score 0 : 61710, score 1 : 53440
game 1101 : Score 0 : 61800, score 1 : 53440
game 1102 : Score 0 : 61800, score 1 : 53530
game 1103 : Score 0 : 61900, score 1 : 53530
game 1104 : Score 0 : 61900, score 1 : 53610
game 1105 : Score 0 : 61900, score 1 : 53690
game 1106 : Score 0 : 61900, score 1 : 53770
game 1107 : Score 0 : 61990, score 1 : 53770
game 1108 : Score 0 : 62150, score 1 : 53770
game 1109 : Score 0 : 62150, score 1 : 53850
game 1110 : Score 0 : 62240, score 1 : 53850
game 1111 : Score 0 : 62240, score 1 : 53930
game 1112 : Score 0 : 62240, score 1 : 54010
game 1113 : Score 0 : 62400, score 1 : 54010
game 1114 : Score 0 : 62400, score 1 : 54170
game 1115 : Score 0 : 62490, score 1 : 54170
game 1116 : Score 0 : 62490, score 1 : 54260
game 1117 : Score 0 : 62580, score 1 : 54260
game 1118 : Score 0 : 62680, score 1 : 54260
game 1119 : Score 0 : 62680, score 1 : 54350
game 1120 : Score 0 : 62680, score 1 : 54430
game 1121 : Score 0 : 62770, score 1 : 54430
game 1122 : Score 0 : 62870, score 1 : 54430
game 1123 : Score 0 : 63030, score 1 : 54430
game 1124 : Score 0 : 63120, score 1 : 54430
game 1125 : Score 0 : 63210, score 1 : 54430
game 1126 : Score 0 : 63300, score 1 : 54430
game 1127 : Score 0 : 63460, score 1 : 54430
game 1128 : Score 0 : 63550, score 1 : 54430
game 1129 : Score 0 : 63640, score 1 : 54430
game 1130 : Score 0 : 63730, score 1 : 54430
game 1131 : Score 0 : 63730, score 1 : 54520
game 1132 : Score 0 : 63820, score 1 : 54520
game 1133 : Score 0 : 63820, score 1 : 54610
game 1134 : Score 0 : 63910, score 1 : 54610
game 1135 : Score 0 : 63910, score 1 : 54700
game 1136 : Score 0 : 64000, score 1 : 54700
game 1137 : Score 0 : 64160, score 1 : 54700
game 1138 : Score 0 : 64160, score 1 : 54860
game 1139 : Score 0 : 64250, score 1 : 54860
game 1140 : Score 0 : 64350, score 1 : 54860
game 1141 : Score 0 : 64350, score 1 : 55020
game 1142 : Score 0 : 64350, score 1 : 55110
game 1143 : Score 0 : 64350, score 1 : 55200
game 1144 : Score 0 : 64350, score 1 : 55360
game 1145 : Score 0 : 64440, score 1 : 55360
game 1146 : Score 0 : 64540, score 1 : 55360
game 1147 : Score 0 : 64620, score 1 : 55360
game 1148 : Score 0 : 64700, score 1 : 55360
game 1149 : Score 0 : 64860, score 1 : 55360
game 1150 : Score 0 : 65020, score 1 : 55360
game 1151 : Score 0 : 65020, score 1 : 55460
game 1152 : Score 0 : 65120, score 1 : 55460
game 1153 : Score 0 : 65120, score 1 : 55550
game 1154 : Score 0 : 65200, score 1 : 55550
game 1155 : Score 0 : 65200, score 1 : 55640
game 1156 : Score 0 : 65200, score 1 : 55730
game 1157 : Score 0 : 65280, score 1 : 55730
game 1158 : Score 0 : 65440, score 1 : 55730
game 1159 : Score 0 : 65440, score 1 : 55810
