game 134 : Score 0 : 7780, score 1 : 6230
game 135 : Score 0 : 7780, score 1 : 6310
game 136 : Score 0 : 7780, score 1 : 6410
game 137 : Score 0 : 7780, score 1 : 6570
game 138 : Score 0 : 7780, score 1 : 6730
game 139 : Score 0 : 7780, score 1 : 6890
game 140 : Score 0 : 7860, score 1 : 6890
game 141 : Score 0 : 7860, score 1 : 6980
game 142 : Score 0 : 7860, score 1 : 7070
game 143 : Score 0 : 7860, score 1 : 7170
game 144 : Score 0 : 7860, score 1 : 7260
game 145 : Score 0 : 7950, score 1 : 7260
game 146 : Score 0 : 7950, score 1 : 7350
game 147 : Score 0 : 7950, score 1 : 7430
game 148 : Score 0 : 7950, score 1 : 7590
game 149 : Score 0 : 8030, score 1 : 7590
game 150 : Score 0 : 8120, score 1 : 7590
game 151 : Score 0 : 8220, score 1 : 7590
game 152 : Score 0 : 8220, score 1 : 7750
game 153 : Score 0 : 8380, score 1 : 7750
game 154 : Score 0 : 8380, score 1 : 7830
game 155 : Score 0 : 8470, score 1 : 7830
game 156 : Score 0 : 8470, score 1 : 7920
game 157 : Score 0 : 8470, score 1 : 8000
game 158 : Score 0 : 8470, score 1 : 8160
game 159 : Score 0 : 8470, score 1 : 8250
game 160 : Score 0 : 8470, score 1 : 8410
game 161 : Score 0 : 8550, score 1 : 8410
game 162 : Score 0 : 8550, score 1 : 8500
game 163 : Score 0 : 8550, score 1 : 8580
game 164 : Score 0 : 8550, score 1 : 8670
game 165 : Score 0 : 8640, score 1 : 8670
game 166 : Score 0 : 8730, score 1 : 8670
game 167 : Score 0 : 8730, score 1 : 8830
game 168 : Score 0 : 8730, score 1 : 8920
game 169 : Score 0 : 8820, score 1 : 8920
game 170 : Score 0 : 8820, score 1 : 9010
game 171 : Score 0 : 8910, score 1 : 9010
game 172 : Score 0 : 8910, score 1 : 9100
game 173 : Score 0 : 8990, score 1 : 9100
game 174 : Score 0 : 8990, score 1 : 9190
game 175 : Score 0 : 9070, score 1 : 9190
game 176 : Score 0 : 9150, score 1 : 9190
game 177 : Score 0 : 9150, score 1 : 9270
game 178 : Score 0 : 9240, score 1 : 9270
game 179 : Score 0 : 9240, score 1 : 9430
game 180 : Score 0 : 9400, score 1 : 9430
game 181 : Score 0 : 9490, score 1 : 9430
game 182 : Score 0 : 9490, score 1 : 9510
game 183 : Score 0 : 9650, score 1 : 9510
game 184 : Score 0 : 9810, score 1 : 9510
game 185 : Score 0 : 9970, score 1 : 9510
game 186 : Score 0 : 9970, score 1 : 9590
game 187 : Score 0 : 10060, score 1 : 9590
game 188 : Score 0 : 10150, score 1 : 9590
game 189 : Score 0 : 10150, score 1 : 9680
game 190 : Score 0 : 10250, score 1 : 9680
game 191 : Score 0 : 10330, score 1 : 9680
game 192 : Score 0 : 10330, score 1 : 9760
game 193 : Score 0 : 10490, score 1 : 9760
game 194 : Score 0 : 10490, score 1 : 9840
game 195 : Score 0 : 10490, score 1 : 9930
game 196 : Score 0 : 10490, score 1 : 10020
game 197 : Score 0 : 10580, score 1 : 10020
game 198 : Score 0 : 10580, score 1 : 10110
game 199 : Score 0 : 10580, score 1 : 10270
game 200 : Score 0 : 10670, score 1 : 10270
game 201 : Score 0 : 10770, score 1 : 10270
game 202 : Score 0 : 10850, score 1 : 10270
game 203 : Score 0 : 10940, score 1 : 10270
game 204 : Score 0 : 11100, score 1 : 10270
game 205 : Score 0 : 11100, score 1 : 10430
game 206 : Score 0 : 11100, score 1 : 10590
game 207 : Score 0 : 11100, score 1 : 10690
game 208 : Score 0 : 11190, score 1 : 10690
game 209 : Score 0 : 11270, score 1 : 10690
game 210 : Score 0 : 11270, score 1 : 10770
game 211 : Score 0 : 11360, score 1 : 10770
game 212 : Score 0 : 11360, score 1 : 10860
game 213 : Score 0 : 11360, score 1 : 10950
game 214 : Score 0 : 11360, score 1 : 11110
game 215 : Score 0 : 11360, score 1 : 11200
game 216 : Score 0 : 11360, score 1 : 11360
game 217 : Score 0 : 11360, score 1 : 11450
game 218 : Score 0 : 11360, score 1 : 11530
game 219 : Score 0 : 11360, score 1 : 11690
game 220 : Score 0 : 11450, score 1 : 11690
game 221 : Score 0 : 11450, score 1 : 11790
game 222 : Score 0 : 11540, score 1 : 11790
game 223 : Score 0 : 11630, score 1 : 11790
game 224 : Score 0 : 11710, score 1 : 11790
game 225 : Score 0 : 11870, score 1 : 11790
game 226 : Score 0 : 11870, score 1 : 11880
game 227 : Score 0 : 11870, score 1 : 12040
game 228 : Score 0 : 11950, score 1 : 12040
game 229 : Score 0 : 11950, score 1 : 12200
game 230 : Score 0 : 11950, score 1 : 12290
game 231 : Score 0 : 11950, score 1 : 12450
game 232 : Score 0 : 11950, score 1 : 12540
game 233 : Score 0 : 12040, score 1 : 12540
game 234 : Score 0 : 12200, score 1 : 12540
game 235 : Score 0 : 12200, score 1 : 12700
game 236 : Score 0 : 12360, score 1 : 12700
game 237 : Score 0 : 12360, score 1 : 12800
