game 160, score 0 : 111, score 1 : 51
game 161, score 0 : 38, score 1 : 124
game 162, score 0 : 109, score 1 : 53
game 163, score 0 : 145, score 1 : 17
game 164, score 0 : 86, score 1 : 76
game 165, score 0 : 64, score 1 : 98
game 166, score 0 : 8, score 1 : 154
game 167, score 0 : 61, score 1 : 101
game 168, score 0 : 42, score 1 : 120
game 169, score 0 : 102, score 1 : 60
game 170, score 0 : 95, score 1 : 67
game 171, score 0 : 137, score 1 : 25
game 172, score 0 : 97, score 1 : 65
game 173, score 0 : 53, score 1 : 109
game 174, score 0 : 120, score 1 : 42
game 175, score 0 : 127, score 1 : 35
game 176, score 0 : 110, score 1 : 52
game 177, score 0 : 84, score 1 : 78
game 178, score 0 : 100, score 1 : 62
game 179, score 0 : 162, score 1 : 0
game 180, score 0 : 88, score 1 : 74
game 181, score 0 : 33, score 1 : 129
game 182, score 0 : 38, score 1 : 124
game 183, score 0 : 81, score 1 : 81
game 184, score 0 : 109, score 1 : 53
game 185, score 0 : 117, score 1 : 45
game 186, score 0 : 156, score 1 : 6
game 187, score 0 : 139, score 1 : 23
game 188, score 0 : 153, score 1 : 9
game 189, score 0 : 101, score 1 : 61
game 190, score 0 : 94, score 1 : 68
game 191, score 0 : 100, score 1 : 62
game 192, score 0 : 103, score 1 : 59
game 193, score 0 : 63, score 1 : 99
game 194, score 0 : 52, score 1 : 110
game 195, score 0 : 62, score 1 : 100
game 196, score 0 : 21, score 1 : 141
game 197, score 0 : 145, score 1 : 17
game 198, score 0 : 162, score 1 : 0
game 199, score 0 : 100, score 1 : 62
game 200, score 0 : 66, score 1 : 96
game 201, score 0 : 162, score 1 : 0
game 202, score 0 : 100, score 1 : 62
game 203, score 0 : 58, score 1 : 104
game 204, score 0 : 38, score 1 : 124
game 205, score 0 : 104, score 1 : 58
game 206, score 0 : 19, score 1 : 143
game 207, score 0 : 14, score 1 : 148
game 208, score 0 : 61, score 1 : 101
game 209, score 0 : 51, score 1 : 111
game 210, score 0 : 21, score 1 : 141
game 211, score 0 : 84, score 1 : 78
game 212, score 0 : 42, score 1 : 120
game 213, score 0 : 98, score 1 : 64
game 214, score 0 : 95, score 1 : 67
game 215, score 0 : 43, score 1 : 119
game 216, score 0 : 0, score 1 : 162
game 217, score 0 : 19, score 1 : 143
game 218, score 0 : 119, score 1 : 43
game 219, score 0 : 135, score 1 : 27
game 220, score 0 : 95, score 1 : 67
game 221, score 0 : 95, score 1 : 67
game 222, score 0 : 59, score 1 : 103
game 223, score 0 : 132, score 1 : 30
game 224, score 0 : 86, score 1 : 76
game 225, score 0 : 45, score 1 : 117
game 226, score 0 : 65, score 1 : 97
game 227, score 0 : 39, score 1 : 123
game 228, score 0 : 61, score 1 : 101
game 229, score 0 : 97, score 1 : 65
game 230, score 0 : 118, score 1 : 44
game 231, score 0 : 0, score 1 : 162
game 232, score 0 : 114, score 1 : 48
game 233, score 0 : 124, score 1 : 38
game 234, score 0 : 54, score 1 : 108
game 235, score 0 : 40, score 1 : 122
game 236, score 0 : 123, score 1 : 39
game 237, score 0 : 62, score 1 : 100
game 238, score 0 : 129, score 1 : 33
game 239, score 0 : 52, score 1 : 110
game 240, score 0 : 7, score 1 : 155
game 241, score 0 : 103, score 1 : 59
game 242, score 0 : 103, score 1 : 59
game 243, score 0 : 119, score 1 : 43
game 244, score 0 : 56, score 1 : 106
game 245, score 0 : 146, score 1 : 16
game 246, score 0 : 136, score 1 : 26
game 247, score 0 : 139, score 1 : 23
game 248, score 0 : 105, score 1 : 57
game 249, score 0 : 58, score 1 : 104
game 250, score 0 : 77, score 1 : 85
game 251, score 0 : 0, score 1 : 162
game 252, score 0 : 123, score 1 : 39
game 253, score 0 : 118, score 1 : 44
game 254, score 0 : 125, score 1 : 37
game 255, score 0 : 128, score 1 : 34
game 256, score 0 : 113, score 1 : 49
game 257, score 0 : 139, score 1 : 23
game 258, score 0 : 86, score 1 : 76
game 259, score 0 : 131, score 1 : 31
game 260, score 0 : 67, score 1 : 95
