game 135 : Score 0 : 10520, score 1 : 3980
game 136 : Score 0 : 10520, score 1 : 4080
game 137 : Score 0 : 10610, score 1 : 4080
game 138 : Score 0 : 10710, score 1 : 4080
game 139 : Score 0 : 10800, score 1 : 4080
game 140 : Score 0 : 10890, score 1 : 4080
game 141 : Score 0 : 10970, score 1 : 4080
game 142 : Score 0 : 11050, score 1 : 4080
game 143 : Score 0 : 11050, score 1 : 4180
game 144 : Score 0 : 11130, score 1 : 4180
game 145 : Score 0 : 11220, score 1 : 4180
game 146 : Score 0 : 11220, score 1 : 4270
game 147 : Score 0 : 11330, score 1 : 4270
game 148 : Score 0 : 11490, score 1 : 4270
game 149 : Score 0 : 11650, score 1 : 4270
game 150 : Score 0 : 11810, score 1 : 4270
game 151 : Score 0 : 11970, score 1 : 4270
game 152 : Score 0 : 12070, score 1 : 4270
game 153 : Score 0 : 12160, score 1 : 4270
game 154 : Score 0 : 12260, score 1 : 4270
game 155 : Score 0 : 12260, score 1 : 4360
game 156 : Score 0 : 12350, score 1 : 4360
game 157 : Score 0 : 12430, score 1 : 4360
game 158 : Score 0 : 12430, score 1 : 4520
game 159 : Score 0 : 12530, score 1 : 4520
game 160 : Score 0 : 12610, score 1 : 4520
game 161 : Score 0 : 12610, score 1 : 4610
game 162 : Score 0 : 12610, score 1 : 4690
game 163 : Score 0 : 12710, score 1 : 4690
game 164 : Score 0 : 12870, score 1 : 4690
game 165 : Score 0 : 13030, score 1 : 4690
game 166 : Score 0 : 13190, score 1 : 4690
game 167 : Score 0 : 13350, score 1 : 4690
game 168 : Score 0 : 13350, score 1 : 4850
game 169 : Score 0 : 13430, score 1 : 4850
game 170 : Score 0 : 13520, score 1 : 4850
game 171 : Score 0 : 13520, score 1 : 4930
game 172 : Score 0 : 13520, score 1 : 5020
game 173 : Score 0 : 13620, score 1 : 5020
game 174 : Score 0 : 13620, score 1 : 5180
game 175 : Score 0 : 13710, score 1 : 5180
game 176 : Score 0 : 13710, score 1 : 5280
game 177 : Score 0 : 13800, score 1 : 5280
game 178 : Score 0 : 13890, score 1 : 5280
game 179 : Score 0 : 13890, score 1 : 5370
game 180 : Score 0 : 13980, score 1 : 5370
game 181 : Score 0 : 13980, score 1 : 5460
game 182 : Score 0 : 14070, score 1 : 5460
game 183 : Score 0 : 14070, score 1 : 5540
game 184 : Score 0 : 14160, score 1 : 5540
game 185 : Score 0 : 14160, score 1 : 5630
game 186 : Score 0 : 14240, score 1 : 5630
game 187 : Score 0 : 14330, score 1 : 5630
game 188 : Score 0 : 14330, score 1 : 5720
game 189 : Score 0 : 14410, score 1 : 5720
game 190 : Score 0 : 14490, score 1 : 5720
game 191 : Score 0 : 14490, score 1 : 5880
game 192 : Score 0 : 14570, score 1 : 5880
game 193 : Score 0 : 14570, score 1 : 5960
game 194 : Score 0 : 14650, score 1 : 5960
game 195 : Score 0 : 14740, score 1 : 5960
game 196 : Score 0 : 14830, score 1 : 5960
game 197 : Score 0 : 14920, score 1 : 5960
game 198 : Score 0 : 14920, score 1 : 6120
game 199 : Score 0 : 15080, score 1 : 6120
game 200 : Score 0 : 15170, score 1 : 6120
game 201 : Score 0 : 15260, score 1 : 6120
game 202 : Score 0 : 15340, score 1 : 6120
game 203 : Score 0 : 15340, score 1 : 6280
game 204 : Score 0 : 15340, score 1 : 6370
game 205 : Score 0 : 15440, score 1 : 6370
game 206 : Score 0 : 15530, score 1 : 6370
game 207 : Score 0 : 15690, score 1 : 6370
game 208 : Score 0 : 15780, score 1 : 6370
game 209 : Score 0 : 15860, score 1 : 6370
game 210 : Score 0 : 15860, score 1 : 6530
game 211 : Score 0 : 15860, score 1 : 6620
game 212 : Score 0 : 15960, score 1 : 6620
game 213 : Score 0 : 16120, score 1 : 6620
game 214 : Score 0 : 16210, score 1 : 6620
game 215 : Score 0 : 16300, score 1 : 6620
game 216 : Score 0 : 16300, score 1 : 6700
game 217 : Score 0 : 16380, score 1 : 6700
game 218 : Score 0 : 16380, score 1 : 6790
game 219 : Score 0 : 16460, score 1 : 6790
game 220 : Score 0 : 16550, score 1 : 6790
game 221 : Score 0 : 16550, score 1 : 6880
game 222 : Score 0 : 16550, score 1 : 6970
game 223 : Score 0 : 16640, score 1 : 6970
game 224 : Score 0 : 16800, score 1 : 6970
game 225 : Score 0 : 16890, score 1 : 6970
game 226 : Score 0 : 17050, score 1 : 6970
game 227 : Score 0 : 17140, score 1 : 6970
game 228 : Score 0 : 17300, score 1 : 6970
game 229 : Score 0 : 17300, score 1 : 7060
game 230 : Score 0 : 17300, score 1 : 7150
game 231 : Score 0 : 17300, score 1 : 7230
game 232 : Score 0 : 17300, score 1 : 7330
game 233 : Score 0 : 17390, score 1 : 7330
game 234 : Score 0 : 17390, score 1 : 7420
game 235 : Score 0 : 17480, score 1 : 7420
game 236 : Score 0 : 17570, score 1 : 7420
game 237 : Score 0 : 17650, score 1 : 7420
game 238 : Score 0 : 17740, score 1 : 7420
game 239 : Score 0 : 17830, score 1 : 7420
game 240 : Score 0 : 17990, score 1 : 7420
game 241 : Score 0 : 17990, score 1 : 7510
game 242 : Score 0 : 17990, score 1 : 7590
game 243 : Score 0 : 17990, score 1 : 7670
game 244 : Score 0 : 18150, score 1 : 7670
game 245 : Score 0 : 18250, score 1 : 7670
game 246 : Score 0 : 18250, score 1 : 7760
game 247 : Score 0 : 18340, score 1 : 7760
game 248 : Score 0 : 18430, score 1 : 7760
game 249 : Score 0 : 18590, score 1 : 7760
game 250 : Score 0 : 18750, score 1 : 7760
game 251 : Score 0 : 18750, score 1 : 7850
game 252 : Score 0 : 18840, score 1 : 7850
game 253 : Score 0 : 18840, score 1 : 7940
game 254 : Score 0 : 19000, score 1 : 7940
game 255 : Score 0 : 19090, score 1 : 7940
game 256 : Score 0 : 19180, score 1 : 7940
game 257 : Score 0 : 19270, score 1 : 7940
game 258 : Score 0 : 19350, score 1 : 7940
game 259 : Score 0 : 19440, score 1 : 7940
game 260 : Score 0 : 19530, score 1 : 7940
game 261 : Score 0 : 19610, score 1 : 7940
game 262 : Score 0 : 19610, score 1 : 8040
game 263 : Score 0 : 19710, score 1 : 8040
game 264 : Score 0 : 19800, score 1 : 8040
game 265 : Score 0 : 19880, score 1 : 8040
game 266 : Score 0 : 19880, score 1 : 8130
game 267 : Score 0 : 19960, score 1 : 8130
game 268 : Score 0 : 20050, score 1 : 8130
game 269 : Score 0 : 20140, score 1 : 8130
game 270 : Score 0 : 20230, score 1 : 8130
game 271 : Score 0 : 20390, score 1 : 8130
game 272 : Score 0 : 20550, score 1 : 8130
game 273 : Score 0 : 20550, score 1 : 8220
game 274 : Score 0 : 20550, score 1 : 8380
game 275 : Score 0 : 20640, score 1 : 8380
game 276 : Score 0 : 20800, score 1 : 8380
game 277 : Score 0 : 20800, score 1 : 8540
game 278 : Score 0 : 20890, score 1 : 8540
game 279 : Score 0 : 20980, score 1 : 8540
game 280 : Score 0 : 21080, score 1 : 8540
game 281 : Score 0 : 21170, score 1 : 8540
game 282 : Score 0 : 21260, score 1 : 8540
game 283 : Score 0 : 21350, score 1 : 8540
game 284 : Score 0 : 21510, score 1 : 8540
game 285 : Score 0 : 21670, score 1 : 8540
game 286 : Score 0 : 21760, score 1 : 8540
game 287 : Score 0 : 21920, score 1 : 8540
game 288 : Score 0 : 22000, score 1 : 8540
game 289 : Score 0 : 22090, score 1 : 8540
game 290 : Score 0 : 22250, score 1 : 8540
game 291 : Score 0 : 22340, score 1 : 8540
game 292 : Score 0 : 22430, score 1 : 8540
game 293 : Score 0 : 22430, score 1 : 8620
game 294 : Score 0 : 22590, score 1 : 8620
game 295 : Score 0 : 22680, score 1 : 8620
game 296 : Score 0 : 22840, score 1 : 8620
game 297 : Score 0 : 22920, score 1 : 8620
game 298 : Score 0 : 23010, score 1 : 8620
game 299 : Score 0 : 23100, score 1 : 8620
game 300 : Score 0 : 23100, score 1 : 8710
game 301 : Score 0 : 23180, score 1 : 8710
game 302 : Score 0 : 23340, score 1 : 8710
game 303 : Score 0 : 23340, score 1 : 8800
game 304 : Score 0 : 23500, score 1 : 8800
game 305 : Score 0 : 23500, score 1 : 8890
game 306 : Score 0 : 23500, score 1 : 8980
game 307 : Score 0 : 23500, score 1 : 9140
game 308 : Score 0 : 23500, score 1 : 9220
game 309 : Score 0 : 23590, score 1 : 9220
game 310 : Score 0 : 23590, score 1 : 9310
game 311 : Score 0 : 23750, score 1 : 9310
game 312 : Score 0 : 23750, score 1 : 9410
game 313 : Score 0 : 23910, score 1 : 9410
game 314 : Score 0 : 23910, score 1 : 9500
game 315 : Score 0 : 23910, score 1 : 9590
game 316 : Score 0 : 24000, score 1 : 9590
game 317 : Score 0 : 24000, score 1 : 9680
game 318 : Score 0 : 24090, score 1 : 9680
game 319 : Score 0 : 24180, score 1 : 9680
game 320 : Score 0 : 24180, score 1 : 9780
game 321 : Score 0 : 24180, score 1 : 9870
game 322 : Score 0 : 24340, score 1 : 9870
game 323 : Score 0 : 24340, score 1 : 9960
game 324 : Score 0 : 24340, score 1 : 10040
game 325 : Score 0 : 24420, score 1 : 10040
game 326 : Score 0 : 24510, score 1 : 10040
game 327 : Score 0 : 24600, score 1 : 10040
game 328 : Score 0 : 24760, score 1 : 10040
game 329 : Score 0 : 24850, score 1 : 10040
game 330 : Score 0 : 24930, score 1 : 10040
game 331 : Score 0 : 24930, score 1 : 10130
game 332 : Score 0 : 25020, score 1 : 10130
game 333 : Score 0 : 25020, score 1 : 10220
game 334 : Score 0 : 25110, score 1 : 10220
game 335 : Score 0 : 25270, score 1 : 10220
game 336 : Score 0 : 25270, score 1 : 10300
game 337 : Score 0 : 25270, score 1 : 10460
game 338 : Score 0 : 25430, score 1 : 10460
game 339 : Score 0 : 25430, score 1 : 10540
game 340 : Score 0 : 25510, score 1 : 10540
game 341 : Score 0 : 25670, score 1 : 10540
